date,headline,close_plus_2d
2020-04-23,"Dow Jones Gains 400 Points On Jobless Claims, Surging Oil Prices; Apple Nears New Buy Point",59.470001220703125
2020-04-23,"Dow Jones Today Waits On Jobless Claims, Stimulus Vote; Casinos Rally, Oil Prices Bounce, Blackstone Turns Acquisitive",59.470001220703125
2020-04-23,"Capital City Trust Co Buys General Dynamics Corp, Vanguard Short-Term Bond, PIMCO Enhanced ...",59.470001220703125
2020-04-23,"Apple Reportedly Shifting Away From Intel, Will Make Its Own Mac Chips",59.470001220703125
2020-04-23,AMD Gears Up to Report Q1 Earnings: What's in the Offing?,59.470001220703125
2020-04-22,SMH Sits At Crucial Juncture – INTC Results With Nearly 11% Weight Can Decide Fate,59.2599983215332
2020-04-22,US Indexes Close Higher Wednesday,59.2599983215332
2020-04-22,"Dow Jones Futures: Coronavirus Stock Market Rally Powers Back; Apple, AMD, Tesla, Intel, Microsoft Near Buy Points, But Watch Out For This",59.2599983215332
2020-04-22,"Dow Jones Rallies As Coronavirus Bill, Oil Price Surge Fuel Stock Market Gains",59.2599983215332
2020-04-22,AMD Stock Filling Cup Base Ahead Of First-Quarter Earnings Report,59.2599983215332
2020-04-22,"HNP Capital LLC Buys iShares S&P 5…… Growth, iShares Core S&P 5……, iShares ...",59.2599983215332
2020-04-22,Chip Earnings To Continue With Intel Stock Near Buy Point; Domino's Due: Investing Action Plan,59.2599983215332
2020-04-22,"Railway Pension Investments Ltd Buys AbbVie Inc, Intel Corp, Eli Lilly and Co, Sells iShares ...",59.2599983215332
2020-04-22,"Intel (INTC) to Post Q1 Earnings: DCG, CCG & PSG in Spotlight",59.2599983215332
2020-04-21,S&P 500 Slides More After Hitting Resistance At This Key Level; Nasdaq Off 3.5%,59.040000915527344
2020-04-21,Dow Jones Falls More Than 600 Points As Oil Extends Declines,59.040000915527344
2020-04-21,"Dow Jones Gets Slammed As Apple, Microsoft Weigh, But Nasdaq Fares Worse",59.040000915527344
2020-04-21,"IBM, Intel, Microsoft Lead Dow Jones Sell-Off; Is The Coronavirus Stock Market Rally In Trouble?",59.040000915527344
2020-04-20,Dow Jones Futures Rally After Oil Prices Crash In Coronavirus Stock Market Rally; 4 Key Stocks Set To Report Earnings,60.09999847412109
2020-04-20,"Oregon Public Employees Retirement Fund Buys NVIDIA Corp, Netflix Inc, Apple Inc, Sells Procter ...",60.09999847412109
2020-04-20,6 Profitable Companies With a Margin of Safety,60.09999847412109
2020-04-20,"Strategic Blueprint, LLC Buys iShares MSCI ACWI Index Fund, SPDR Russell –……… ETF, ...",60.09999847412109
2020-04-20,AI Stocks To Watch: 186 A+ Funds Buy This Stock With 300% Growth,60.09999847412109
2020-04-20,Intel (INTC) to Report Q1 Earnings: What's in the Offing?,60.09999847412109
2020-04-20,"Dow Jones Today, Futures Skid As Oil Prices Collapse; Netflix and Coronavirus Stocks Co-Diagnostics, BioNTech Rise",60.09999847412109
2020-04-20,"Newman Dignan & Sheerar, Inc. Buys Apple Inc, Johnson & Johnson, Intel Corp, Sells ...",60.09999847412109
2020-04-20,Chip ETFs May Shine in Q1 Earnings (Revised),60.09999847412109
2020-04-18,Week Ahead: Green Shoots,60.09999847412109
2020-04-18,"Advanced Micro: ""A Diamond in the Rough""",60.09999847412109
2020-04-17,Intel Q1 2020 Earnings Preview: Buy INTC Stock Amid the Coronavirus?,56.36000061035156
2020-04-17,Semiconductor Stock Outlook: Coronavirus Dampens Prospects,56.36000061035156
2020-04-17,Is the Market Ahead of Itself?,56.36000061035156
2020-04-17,Top Coronavirus Winners And Losers To Report Earnings: Investing Action Plan,56.36000061035156
2020-04-17,"The Zacks Analyst Blog Highlights: Apple, Intel, Walt Disney, Alphabet and QUALCOMM",56.36000061035156
2020-04-17,NVIDIA (NVDA) Gets China's Approval for Mellanox Acquisition,56.36000061035156
2020-04-17,"Xilinx (XLNX) Adds Samsung to Clientele, Boosts 5G Presence",56.36000061035156
2020-04-16,"Opes Wealth Management LLC Buys Schwab Fundamental International Large Company Ind, Fidelity ...",59.18000030517578
2020-04-16,Dow Jones Sharply Lower After New York To Remain Shut Down To Fight Coronavirus,59.18000030517578
2020-04-16,Intel (INTC) Earnings Expected to Grow: Should You Buy?,59.18000030517578
2020-04-16,Don't Panic: Look Beyond the Disappointing Economic Data,59.18000030517578
2020-04-15,"Breiter Capital Management Inc Buys Advanced Micro Devices Inc, Amazon. ...",60.36000061035156
2020-04-15,AMD Expands Portfolio with New Second-Gen EPYC Processors,60.36000061035156
2020-04-15,Should You Buy Intel (INTC) Ahead of Earnings?,60.36000061035156
2020-04-15,Are Buyback ETFs in Troubled Waters?,60.36000061035156
2020-04-15,What's in Store for Dow ETFs in Q1 Earnings?,60.36000061035156
2020-04-15,"EWG Elevate Inc. Buys W.P. Carey Inc, Intel Corp, Boeing Co, Sells First Trust Capital Strength ...",60.36000061035156
2020-04-15,"Baldwin Brothers Inc Buys iShares TIPS Bond, TJX Inc, Regeneron Pharmaceuticals Inc, Sells ...",60.36000061035156
2020-04-14,IBD 50 Stocks To Watch: Fast-Growing Chip Leader Aims For New Breakout,60.790000915527344
2020-04-14,"Stocks Pointing To Higher Opening, But Bearish Pattern's Persist",60.790000915527344
2020-04-13,"Sellers Hit Dow Jones, But FANG Stock Scores Bullish Breakout; Tesla, Amazon Also Soar",58.869998931884766
2020-04-13,Intel (INTC) to Aid DARPA With ML Cybersecurity Capabilities,58.869998931884766
2020-04-13,PC Shipments Fall in Q1 on Coronavirus-Led Supply-Chain Woes,58.869998931884766
2020-04-10,"Abundance Wealth Counselors Buys IQ Merger Arbitrage, iShares Edge MSCI Intl Quality Factor, ...",58.869998931884766
2020-04-10,"Coronavirus Stock Market Rally: Mexico Joins OPEC+ Production Deal, Tesla's China Moves, Delta Cut To Junk, Intel, Taiwan Semiconductor Sales Strong",58.869998931884766
2020-04-10,"Stock Market Today: Mexico Joins OPEC+ Production Deal, Tesla's China Moves, Delta Cut To Junk, Intel, Taiwan Semiconductor Sales Strong",58.869998931884766
2020-04-09,Intel Corp (INTC) EVP General Counsel Steven Ralph Rodgers Sold $—.' million of Shares,60.65999984741211
2020-04-09,"San Francisco Sentry Investment Group (ca) Buys ProShares Short S&P5……, Vanguard ...",60.65999984741211
2020-04-08,A Classic Volatility Trap,58.70000076293945
2020-04-08,Rising Work-From-Home Trend to Boost 5 Industries & ETFs,58.70000076293945
2020-04-08,"Dow Jones Today, Futures Edge Higher; FedEx Gets An Amazon Boost, Fraud Case Hammers China Stocks",58.70000076293945
2020-04-08,Buybacks on the Back Burner Thanks to Coronavirus Impact,58.70000076293945
2020-04-08,Intel (INTC) to Divest Home Gateway Division to MaxLinear (Revised),58.70000076293945
2020-04-07,"Stock Charts To Watch - Monday, April 6",57.13999938964844
2020-04-07,A Fascinating Anomaly,57.13999938964844
2020-04-06,"Dow Jones Today, Futures Jump Amid Coronavirus Warnings; Chips Stocks Rally, Co-Diagnostics Covid-19 Test Approved",58.97999954223633
2020-04-04,"Intel Corp (INTC) EVP, GM - Data Platforms Group Navin Shenoy Sold $577,477 of Shares",58.97999954223633
2020-04-03,Video: 4 Large-Cap Stocks With Strong Buffett-Munger Characteristics,58.400001525878906
2020-04-03,Intel (INTC) Stock Moves -0.4%: What You Should Know,58.400001525878906
2020-04-03,NVIDIA (NVDA) Expands in Gaming GPU Space With New Chips,58.400001525878906
2020-04-03,Intel (INTC) Introduces New Mobile Processors: Key Takeaways,58.400001525878906
2020-04-02,US Indexes Close Higher Thursday,58.43000030517578
2020-03-31,US Indexes Post Losses of Over –…% for March,54.34999847412109
2020-03-30,Intel (INTC) is a Top Dividend Stock Right Now: Should You Buy?,51.880001068115234
2020-03-26,"Dow Leaps 1,219 Points On Coronavirus Relief Package; Will These Dow Jones Stocks Lead The Market?",55.4900016784668
2020-03-26,Will Apple (AAPL) Delay 5G iPhone Launch Due to Coronavirus Mess?,55.4900016784668
2020-03-26,"Clorox, Darden Restaurants, Intel, Boeing and JPMorgan Chase highlighted as Zacks Bull and Bear of the Day",55.4900016784668
2020-03-26,AMD's Processors to Power Microsoft Azure Virtual Machines,55.4900016784668
2020-03-25,"Hot Options Report For End Of Day - Wednesday, March 25",52.369998931884766
2020-03-25,Nasdaq (Top 30 Weights) Earnings Estimates/Revisions,52.369998931884766
2020-03-25,Intel (INTC) Halts Share Buyback on Coronavirus Concerns,52.369998931884766
2020-03-24,Markets Up on Recovery Hopes,55.540000915527344
2020-03-24,Hopes of a Recovery Boosts Pre-markets,55.540000915527344
2020-03-24,Equities Shrug Off UK Lockdown To Charge Higher,55.540000915527344
2020-03-23,US Indexes Close Lower Monday,51.2599983215332
2020-03-23,3 Safe Haven Tech Stocks to Buy as Coronavirus Market Uncertainty Spreads,51.2599983215332
2020-03-23,"Dow Jones Dives To Pre-Election Lows Despite Fed Stimulus, No Coronavirus Aid Deal Yet",51.2599983215332
2020-03-20,Intel (INTC) Stock Moves -0.24%: What You Should Know,52.400001525878906
2020-03-20,Intel Ups the Ante in Neuromorphic Computing With New Solutions,52.400001525878906
2020-03-19,"Intel, Royal Caribbean Cruises, Roche, Thermo Fisher and Quest Diagnostics highlighted as Zacks Bull and Bear of the Day",49.58000183105469
2020-03-19,The Stalwarts,49.58000183105469
2020-03-19,Bull of the Day: Intel (INTC),49.58000183105469
2020-03-18,US Indexes Close Higher Tuesday,45.83000183105469
2020-03-18,5 Semiconductor Stocks Set for Rebound Post Coronavirus Mayhem,45.83000183105469
2020-03-17,5 Predictable Stocks Giving Markets a St. Patrick's Day Boost,45.93999862670898
2020-03-17,"Dow Jones Recoups 1,049 Points As Trump Weighs $1 Tril In Coronavirus Stimulus",45.93999862670898
2020-03-17,"JOYY (YY) Q4 Earnings Beat Estimates, Revenues Rise Y/Y",45.93999862670898
2020-03-17,"Stock Trading Halted Again Monday, Stocks Close Lower",45.93999862670898
2020-03-17,Panic Selling Exacerbates Bargains,45.93999862670898
2020-03-16,"Market Talk – Monday, March 16",47.61000061035156
2020-03-16,5 Tech Companies Boosting Book Value,47.61000061035156
2020-03-16,"Jabil (JBL) Q2 Earnings Miss, Coronavirus Dents Y/Y Growth",47.61000061035156
2020-03-16,5 Stocks to Buy Instead of Hoarding Cash Amid Coronavirus Sell Off,47.61000061035156
2020-03-13,US Indexes Rebound Friday,50.08000183105469
2020-03-13,Dow Jones Up 900 Points As Stock Market Attempts Rebound; Coronavirus Deal Soon?,50.08000183105469
2020-03-13,5 Blue-Chip Tech Stocks to Buy Amid Coronavirus Sell-Off,50.08000183105469
2020-03-13,"Asure Software (ASUR) Reports Q4 Loss, Revenues Rise Y/Y",50.08000183105469
2020-03-13,Bear Market May Be a Good Opportunity for Long-Term Investors,50.08000183105469
2020-03-12,"Top Research Reports for Alibaba, Roche & Intel",44.61000061035156
2020-03-12,"Coronavirus Ends Bull Run, Trump's Plan & Buy this Chip Stock - Free Lunch",44.61000061035156
2020-03-12,"Rubicon, Rogers, Lam Research, Applied Materials and Intel as Zacks Bull and Bear of the Day",44.61000061035156
2020-03-12,VeriSign (VRSN) Gains on Higher Q4 Domain Name Registrations,44.61000061035156
2020-03-11,3 Dividend-Paying Semiconductor Stocks to Buy Amid Coronavirus Volatility,54.43000030517578
2020-03-11,Semtech (SMTC) Bolsters 5G Efforts With Access to GN1840,54.43000030517578
2020-03-11,Cloudera's (CLDR) Q4 Earnings and Revenues Increase Y/Y,54.43000030517578
2020-03-09,4 High-Quality Tech Companies as Coronavirus Fears Smash Markets Worldwide,51.65999984741211
2020-03-09,"Dow Jones Rocked Again As 10-Year Yield, Oil Prices Plunge; AutoZone A Bright Spot",51.65999984741211
2020-03-07,"Technology Earnings Estimates & Revisions- Saturday, March 7",51.65999984741211
2020-03-06,Should You Buy AMD Stock?,53.97999954223633
2020-03-06,INTC vs. TXN: Which Stock Is the Better Value Option?,53.97999954223633
2020-03-06,Nokia Partners Intel for '5G Powered by ReefShark' Portfolio,53.97999954223633
2020-03-05,"Bridger Capital Management, Llc Buys Edwards Lifesciences Corp, KLA Corp, Thomson Reuters Corp, ...",50.84999847412109
2020-03-05,"Dow Jones Today, Futures Retreat; A $113 Billion Coronavirus Hit To Airlines? Vipshop, Marvell, Ciena Rally",50.84999847412109
2020-03-05,"The Zacks Analyst Blog Highlights: Broadcom, Coca-Cola, Procter & Gamble, McDonald's and Intel",50.84999847412109
2020-03-04,"Intel Corp (INTC) EVP, GM - Data Platforms Group Navin Shenoy Sold $569,898 of Shares",55.77000045776367
2020-03-04,"Dow Surges 500 Points As Stocks Rally On Biden Bounce, Despite Coronavirus Spread",55.77000045776367
2020-03-04,Record-Low Treasury Yield Amid Virus Threat May Benefit Stocks,55.77000045776367
2020-03-04,Is Broadcom (AVGO) Stock a Safe Semiconductor Buy Despite Coronavirus Worries?,55.77000045776367
2020-03-04,"Stocks Are Set To Jump On March 4, But For How Long?",55.77000045776367
2020-02-28,Dow Logs Worst One-Day Slump in History: ETF & Stock Winners,55.970001220703125
2020-02-27,"Dow Plunges 1,200 Points As Stock Market Melts Down Again On Coronavirus Fears",58.18000030517578
2020-02-27,US Indexes Continue to Descend Thursday,58.18000030517578
2020-02-27,US Indexes Close Mostly Lower Again Wednesday,58.18000030517578
2020-02-26,"Fast Times at Innovation High, Part 1",55.52000045776367
2020-02-26,Microsoft Slides After Cutting Personal Computing Guidance Due To Coronavirus; Intel Dragged Lower,55.52000045776367
2020-02-26,"Intel Unveils 5G Chips: Should QRVO, AVGO, XLNX Take Note?",55.52000045776367
2020-02-25,Is it the Right Time to Enter the Stock Market? Let's Find Out,55.83000183105469
2020-02-24,"Nomura Asset Management Co Ltd Buys Microsoft Corp, Alibaba Group Holding, Apple Inc",59.650001525878906
2020-02-24,"Zacks.com featured highlights include: Signet Jewelers, CACI International, Intel, Science Applications International and Best Buy Company",59.650001525878906
2020-02-21,US Indexes Lower Friday and for the Week,59.72999954223633
2020-02-21,5 Stocks Trading Near 52-Week High That Can Scale Higher,59.72999954223633
2020-02-21,"Stock Market News for Feb 21, 2020",59.72999954223633
2020-02-21,5G Wave Set to Help These Stocks Score Big in 2020,59.72999954223633
2020-02-20,Chip Stocks To Consider As the Market Wavers,61.7599983215332
2020-02-20,US Indexes Close Lower Thursday,61.7599983215332
2020-02-20,Dow Jones Craters 350 Points Intraday On Profit-Taking; Domino's Holds Gains Bullishly After Breakout,61.7599983215332
2020-02-20,"The Zacks Analyst Blog Highlights: Microsoft, International Business Machines, Intel, Apple and Amazon.com",61.7599983215332
2020-02-20,"The Zacks Analyst Blog Highlights: Nvidia, AMD, TSMC and Intel",61.7599983215332
2020-02-20,Samsung Begins 7nm Chip Production: Should AMD & Intel Worry?,61.7599983215332
2020-02-20,Is Intel (INTC) Stock a Solid Choice Right Now?,61.7599983215332
2020-02-20,5 Top-Ranked Semiconductor Stocks to Buy in 2020,61.7599983215332
2020-02-20,"Most Active Equity Options For Midday - Thursday, Feb. 20",61.7599983215332
2020-02-19,"Chris Davis' Firm Buys Intel, Sells Microsoft",64.33999633789062
2020-02-19,US Indexes Close Higher Wednesday With China's Support Comments,64.33999633789062
2020-02-19,Does Nvidia's (NVDA) Tremendous Rally Have Legs?,64.33999633789062
2020-02-19,Squirrels Research Labs Reveals Intel® FPGAs in Power-Efficient Next Generation Ethereum ...,64.33999633789062
2020-02-19,HP (HPQ) Set to Report Q1 Earnings: What's in the Cards?,64.33999633789062
2020-02-18,"3 ETFs To Watch This Week: China, Casinos And More",65.44999694824219
2020-02-18,"Three ETFs To Watch This Week: China, Casinos And More",65.44999694824219
2020-02-18,"Apple's Coronavirus Warning, Tesla Climbs & A Strong Buy Chip Stock - Free Lunch",65.44999694824219
2020-02-18,"Profund Advisors Llc Buys Intel Corp, NVIDIA Corp, Broadcom Inc, Sells Celgene Corp, American ...",65.44999694824219
2020-02-17,"Tolleson Wealth Management, Inc. Buys Johnson & Johnson, JPMorgan Chase Capital XVI JP ...",65.44999694824219
2020-02-17,Leuthold Weeden Capital Management Buys iShares J.P. ...,65.44999694824219
2020-02-17,"EMS Capital LP Buys Intel Corp, Planet Fitness Inc, Uber Technologies Inc, Sells Canada Goose ...",65.44999694824219
2020-02-17,The Stock Market Rally Is Likely To Resume On February 18,65.44999694824219
2020-02-17,"Valueworks Llc Buys Mammoth Energy Services Inc, Cheniere Energy Inc, Gilead Sciences Inc, ...",65.44999694824219
2020-02-14,"Bbr Partners, Llc Buys Slack Technologies Inc, Urban Edge Properties, Microsoft Corp, Sells ...",67.11000061035156
2020-02-14,"Maverick Capital ltd Buys Crown Holdings Inc, Monster Beverage Corp, Fleetcor Technologies Inc, ...",67.11000061035156
2020-02-13,Daily Stock Pick: Intel,66.13999938964844
2020-02-12,"Geller Family Office Services, LLC Buys Invesco S&P 5…… Low Volatility ETF, iShares ...",67.2699966430664
2020-02-12,"The Zacks Analyst Blog Highlights: Microsoft, IBM, Intel, Apple and Lam Research",67.2699966430664
2020-02-12,Nvidia Analysts Raise Price Targets Ahead Of Q4 Print,67.2699966430664
2020-02-11,US Indexes Close Mostly Higher Tuesday,67.44000244140625
2020-02-11,"Dow Pares Gains On FTC Probe Of Big-Cap Techs, But Nasdaq, S&P 500 At New High",67.44000244140625
2020-02-11,"Bar Harbor Trust Services Buys iShares MSCI EAFE Growth ETF, Core Laboratories NV, SPDR S&P ...",67.44000244140625
2020-02-11,"Zacks.com featured highlights include: KB Home, Morgan Stanley, Clearway Energy, Booz Allen Hamilton and Intel",67.44000244140625
2020-02-11,Buy 5 High-Flying Tech Behemoths to Gain From Market Rally,67.44000244140625
2020-02-10,"Group One Trading, L.p. Buys Uber Technologies Inc, The Walt Disney Co, Salesforce. ...",67.45999908447266
